Entities,FPS,Frame Time (us)
11.0,0.0,430.96666666666664
16.0,1014.6,1263.6666666666667
21.0,982.1,881.6
26.0,1087.3,643.3333333333334
31.0,1049.9,1041.3333333333333
36.0,1038.9,1000.8
41.0,1042.0,937.8333333333334
46.0,1036.5,993.8666666666667
51.0,1031.6666666666667,998.3666666666667
56.0,1027.9666666666667,999.2
61.0,1025.2333333333333,998.4
66.0,1022.9,998.0333333333333
71.0,1020.8666666666667,999.2333333333333
76.0,1019.2,998.5666666666667
81.0,1017.8,999.1
86.0,1016.6333333333333,997.8666666666667
91.0,1015.6,999.7
96.0,1014.7333333333333,999.1
101.0,1013.9666666666667,997.6
106.0,1013.2333333333333,999.0666666666667
111.0,1012.3333333333334,1002.1666666666666
116.0,1012.0,995.3333333333334
121.0,1011.3,1000.8
126.0,1010.8,999.4666666666667
131.0,1010.5666666666667,995.5666666666667
136.0,1010.2333333333333,998.5666666666667
141.0,1009.8,1000.1
146.0,1009.4,998.5
151.0,1009.1,997.7666666666667
156.0,1008.8333333333334,997.8666666666667
161.0,1008.5666666666667,999.7666666666667
166.0,1008.2666666666667,999.2333333333333
171.0,1008.0333333333333,1000.6333333333333
176.0,1007.9333333333333,996.3666666666667
181.0,1007.7666666666667,998.7333333333333
186.0,1007.5,998.9666666666667
191.0,1007.1666666666666,1000.9
196.0,1006.9666666666667,996.8
201.0,1006.8,998.5666666666667
206.0,1006.6,998.9
211.0,1006.4666666666667,1001.5666666666667
216.0,1006.4,996.2333333333333
221.0,1006.2333333333333,1001.9666666666667
226.0,1006.1666666666666,994.6666666666666
231.0,1006.0333333333333,1002.7666666666667
236.0,1005.8666666666667,998.9
241.0,1005.7666666666667,998.5666666666667
246.0,1005.7333333333333,997.2
251.0,1005.5666666666667,1003.2
256.0,1005.6333333333333,994.7
261.0,1005.5,999.1333333333333
266.0,1005.4333333333333,998.2333333333333
271.0,1005.2333333333333,1007.1333333333333
276.0,1005.2333333333333,990.6333333333333
281.0,1005.1,1000.3333333333334
286.0,1004.9,997.5
291.0,1004.7666666666667,999.2666666666667
296.0,1004.6333333333333,999.8333333333334
301.0,1004.6,1001.9666666666667
306.0,1004.4666666666667,998.0333333333333
311.0,1004.4333333333333,995.9333333333333
316.0,1004.4,998.7
321.0,1004.2666666666667,998.8333333333334
326.0,1004.3333333333334,998.3
331.0,1004.2666666666667,998.4
336.0,1004.2,998.9
341.0,1004.2,997.4
346.0,1004.1333333333333,999.5
351.0,1004.0666666666667,999.0666666666667
356.0,1004.0333333333333,996.7333333333333
361.0,1003.9333333333333,999.2333333333333
366.0,1003.9,1001.7666666666667
371.0,1003.8666666666667,999.4333333333333
376.0,1003.8666666666667,995.1333333333333
381.0,1003.8,998.6333333333333
386.0,1003.7666666666667,1000.8333333333334
391.0,1003.7666666666667,996.9333333333333
396.0,1003.7,998.5
401.0,1003.6666666666666,1000.4666666666667
406.0,1003.6333333333333,998.5
411.0,1003.6666666666666,997.5666666666667
416.0,1003.6333333333333,1001.3666666666667
421.0,1003.6333333333333,996.1333333333333
426.0,1003.6,998.8333333333334
431.0,1003.5666666666667,998.8666666666667
436.0,1003.4666666666667,1000.4
441.0,1003.4666666666667,998.4333333333333
446.0,1003.4666666666667,1001.0333333333333
451.0,1003.4666666666667,995.5
456.0,1003.4333333333333,998.1
461.0,1003.4,999.9
466.0,1003.3666666666667,997.7666666666667
471.0,1003.3333333333334,998.5333333333333
476.0,1003.3333333333334,998.8333333333334
481.0,1003.2333333333333,1001.6
486.0,1003.2333333333333,993.7666666666667
491.0,1003.2,998.7666666666667
496.0,1003.2,998.8
501.0,1003.1666666666666,1000.1
506.0,1003.2,997.3
511.0,1003.2,998.8333333333334
516.0,1003.2,998.9
521.0,1003.1666666666666,998.3666666666667
526.0,1003.1666666666666,998.8666666666667
531.0,1003.1,999.0666666666667
536.0,1003.0666666666667,998.8666666666667
541.0,1003.0666666666667,1000.0333333333333
546.0,1003.0333333333333,997.5
551.0,1002.9666666666667,998.7666666666667
556.0,1002.9333333333333,998.9
561.0,1002.9333333333333,998.7333333333333
566.0,1002.9333333333333,999.5
571.0,1002.9333333333333,999.2333333333333
576.0,1002.9333333333333,997.5
581.0,1002.8666666666667,999.9333333333333
586.0,1002.9,997.7666666666667
591.0,1002.9,998.8
596.0,1002.8666666666667,998.8
601.0,1002.8333333333334,999.1333333333333
606.0,1002.8,998.0333333333333
611.0,1002.8,999.0666666666667
616.0,1002.7666666666667,999.2333333333333
621.0,1002.7666666666667,998.2333333333333
626.0,1002.7666666666667,998.8
631.0,1002.7333333333333,998.2333333333333
