Frame,Entities,FPS
0,11.0,0.0
1,16.0,965.0333333333333
2,21.0,903.2333333333333
3,26.0,1021.5
4,31.0,1009.5
5,36.0,996.3
6,41.0,1010.6333333333333
7,46.0,1010.9333333333333
8,51.0,1009.0666666666667
9,56.0,1007.8333333333334
10,61.0,1006.9666666666667
11,66.0,1005.8333333333334
12,71.0,1005.0333333333333
13,76.0,1005.2
14,81.0,1004.6
15,86.0,1004.5666666666667
16,91.0,1003.3
17,96.0,1004.1
18,101.0,1003.8333333333334
19,106.0,1003.5333333333333
20,111.0,1003.6
21,116.0,1003.4666666666667
22,121.0,1003.4666666666667
23,126.0,1003.2333333333333
24,131.0,1003.2666666666667
25,136.0,1003.1333333333333
26,141.0,1002.8333333333334
27,146.0,1003.0666666666667
28,151.0,1003.0
29,156.0,1003.1
30,161.0,1002.9666666666667
31,166.0,1002.7333333333333
32,171.0,1002.6666666666666
33,176.0,1002.8
34,181.0,1002.7333333333333
35,186.0,1002.5
36,191.0,1002.4333333333333
37,196.0,1002.3
38,201.0,1002.0333333333333
39,206.0,1001.4
40,211.0,1000.9333333333333
41,216.0,1000.2
42,221.0,999.5
43,226.0,998.5333333333333
44,231.0,996.9333333333333
45,236.0,994.6666666666666
46,241.0,990.6333333333333
47,246.0,986.9333333333333
48,251.0,982.4333333333333
49,256.0,977.0
50,261.0,971.5333333333333
51,266.0,965.6
52,271.0,959.0
53,276.0,951.5666666666667
54,281.0,943.5
55,286.0,935.3666666666667
56,291.0,926.4666666666667
57,296.0,917.2666666666667
58,301.0,907.8666666666667
59,306.0,898.5333333333333
60,311.0,888.9333333333333
61,316.0,878.8666666666667
62,321.0,869.1333333333333
63,326.0,859.4333333333333
64,331.0,849.6666666666666
65,336.0,839.9333333333333
66,341.0,829.8333333333334
67,346.0,819.8333333333334
68,351.0,809.7
69,356.0,799.4333333333333
70,361.0,789.3333333333334
71,366.0,779.6
72,371.0,769.3333333333334
73,376.0,759.2
74,381.0,748.8666666666667
75,386.0,738.8
76,391.0,728.8666666666667
77,396.0,718.7333333333333
78,401.0,708.7
79,406.0,698.6666666666666
